Consume Trader // ID=0;Packaged Food;PowderedMilk;*;1000;8;
Consume Trader // ID=0;Packaged Food;BoxCerealCrunchin;*;1000;10;
Consume Trader // ID=0;Packaged Food;Rice;*;1000;8;
Consume Trader // ID=0;Packaged Food;Marmalade;*;1000;20;
Consume Trader // ID=0;Packaged Food;PeachesCan;*;1000;10;
Consume Trader // ID=0;Packaged Food;SardinesCan;*;1000;8;
Consume Trader // ID=0;Packaged Food;TunaCan;*;1000;8;
Consume Trader // ID=0;Packaged Food;SpaghettiCan;*;1000;10;
Consume Trader // ID=0;Packaged Food;BakedBeansCan;*;1000;10;
Consume Trader // ID=0;Packaged Food;TacticalBaconCan;*;1000;20;
Consume Trader // ID=0;Drinks;SodaCan_Cola;*;1000;8;
Consume Trader // ID=0;Drinks;SodaCan_Kvass;*;1000;8;
Consume Trader // ID=0;Drinks;SodaCan_Pipsi;*;1000;8;
Consume Trader // ID=0;Drinks;SodaCan_Spite;*;1000;8;
Consume Trader // ID=0;Drinks;WaterBottle;*;1000;10;
Consume Trader // ID=0;Drinks;Canteen;*;1000;15;
Consume Trader // ID=0;Drinks;Vodka;*;1000;25;
Consume Trader // ID=0;Medical Supplies;BandageDressing;2;80;8;
Consume Trader // ID=0;Medical Supplies;BloodTestKit;*;200;20;
Consume Trader // ID=0;Medical Supplies;InjectionVial;*;200;20;
Consume Trader // ID=0;Medical Supplies;Thermometer;*;300;30;
Consume Trader // ID=0;Medical Supplies;DisinfectantSpray;*;400;40;
Consume Trader // ID=0;Medical Supplies;Syringe;*;100;10;
Consume Trader // ID=0;Medical Supplies;Heatpack;*;50;5;
Consume Trader // ID=0;Medical Supplies;StartKitIV;*;300;30;
Consume Trader // ID=0;Medical Supplies;SalineBag;*;300;30;
Consume Trader // ID=0;Medical Supplies;BloodBagEmpty;*;100;10;
Consume Trader // ID=0;Medical Supplies;FirstAidKit;*;1000;100;
Consume Trader // ID=0;Medical Supplies;Defibrillator;*;1000;100;
Consume Trader // ID=0;Medications;CharcoalTablets;*;500;50;
Consume Trader // ID=0;Medications;DisinfectantAlcohol;*;400;40;
Consume Trader // ID=0;Medications;VitaminBottle;*;500;50;
Consume Trader // ID=0;Medications;TetracyclineAntibiotics;*;500;50;
Consume Trader // ID=0;Medications;PainkillerTablets;*;500;50;
Consume Trader // ID=0;Medications;Epinephrine;*;500;50;
Consume Trader // ID=0;Medications;Morphine;*;500;50;
Consume Trader // ID=0;Medications;IodineTincture;*;1000;100;
Consume Trader // ID=0;Radioativos;NBCGlovesGray;*;3000;300;
Consume Trader // ID=0;Radioativos;NBCBootsGray;*;3000;300;
Consume Trader // ID=0;Radioativos;NBCPantsGray;*;3000;300;
